id,category,response,flag
43,STOP,Stop using AI to generate ideas.,
44,STOP,Loomis should stop making it unclear when AI shouldn't be used versus where it is allowed or encouraged.,
45,STOP,"Loomis should stop making it unclear when AI shouldn't be used, where it is allowed such encouraged.",
46,STOP,"Stop with traffic light system, too unclear on specifics of what is un or unacceptable or acceptable.",
47,STOP,Stop being too accusatory of AI use from the start.,
48,STOP,I think Loomis should stop AI hate.,
49,STOP,Loomis should stop treating people who utilize AI as people who are trying to game the system.,
50,STOP,"Loomis should stop making it feel like it is terrible, because their right use or influence, it is beneficial.",
51,STOP,Stop using AI to make posters.,
52,STOP,Stop using AI when it takes out the human experience.,
53,STOP,Loomis should stop giving unclear restrictions about the uses of AI in assessments or homework.,
54,STOP,"Stop using AI as a replacement for personal things, like peer review or college recs.",
55,STOP,"Stop assuming that all students are using AI to replace their thinking and work. Stop allowing AI to do the creative process for the student, such as allowing AI to come up with the topic/design.",
56,STOP,Loomis should stop being too accusatory over AI generated work.,
57,STOP,Stop using lockdown browser and incentivizing its use.,
58,STOP,"Stop using when taking out human experience, stop questioning.",
59,STOP,Loomis should stop giving unclear restrictions about the uses of AI and assessment or homework.,
60,STOP,"Stop giving the same punishment for every wrong AI use. Some deserve less punishment, especially if it's a small homework or essay.",
61,STOP,"Stop leaving it up to individual teachers to ignore the unfair, insidious incentive structure that easy and illicit use of AI creates among students trying to succeed and excel. Level the playing field.",
62,STOP,Unless should stop being too accusatory over AI generated work.,
63,STOP,Stop acting like it's the end of the world / having teachers unwilling to work with AI.,
64,STOP,Stop fully limiting AI.,
65,STOP,"At Loomis, when it comes to AI, I think the teacher should maybe stop being so anti AI. I feel that the only reason kids lean towards AI so much is because we technically aren't supposed to.",
66,STOP,Stop giving the same punishment for every wrong AI use. Some deserve less. punishment on it if it's a small homeworker essay.,
67,STOP,"Stop using AI for unnecessary things, like email writing or design creating — things that can be done just as well without AI's help.",
68,STOP,"Right now, usage of AI is sort of being treated like a taboo and students are afraid of it. If we can openly discuss policies around AI, we can create a better environment.",
69,STOP,Remove the focus on mitigating or limiting AI's use.,
70,STOP,"Stop completely allowing the student to copy and paste writing/ideas from AI, or banning it completely.",
71,STOP,We need to stop trying to avoid AI in our assessments. Can we look to real-world uses of AI and explore how to translate that into our work here?,
72,STOP,"Stop telling us not to use AI. We should stop sending mixed messaging about AI use and its relationship to critical thinking. We need to be clear, no matter what message we decide.",
73,STOP,Loomis should stop using AI as a replacement for teaching or tutoring.,
74,STOP,Loomis should stop demonizing everything about AI.,
75,STOP,We should stop only focusing on AI usage for the English department. Other classes have relevant AI use issues as well.,
76,STOP,"Using AI for unnecessary things, like email writing or design creating, things that can be done just as well without AI's help.",
77,STOP,"Right now, usage of AI is sort of being treated like a taboo and students are afraid of it. But if we can openly discuss policies around AI. You can create a better environment.",
78,STOP,Remove the focus of mitigating session limiting AI's use.,
79,STOP,Stop completely allowing the student to copy and paste the writing / idea from AI or fanning it completely.,
80,STOP,Stop. We need to stop trying to avoid AI in our assessments. Can we look to real world uses of AI and explore how to translate that into our work here? Where can AI help.,
81,STOP,"Stop. Telling us to not use AI.
We should stop sending mixed messaging about AI use and a relationship to critical thinking. We need to be clear, no matter what message. We decide. You? Except. Something Loomis should stop doing is using AI as replacement for teaching or tutoring.",
82,STOP,"Stop being so hostile to AI and trying to scare us. It's inevitable that people will use it. Instead, teach a healthy way to use it where we still learn but also become more familiar with it for the future.",
83,STOP,Stop any AI completely.,
84,STOP,I think that we should stop / and limit only focusing on AI usage for the English department. Other classes have relevant AI use issues as well.,
85,STOP,"I think Loomis needs to stop demonizing AI in some use cases, especially for review.",
86,STOP,Loomis should stop saying it is such a bad thing.,
87,STOP,"I hope the school will place more trust in students to not use AI — e.g., having students do in-class writing not primarily for the qualities of in-class writing itself, but just to prevent students from using AI.",
88,STOP,I feel like we got to stop judging when we hear the words AI as it has some good things.,
89,STOP,We should stop conflating a need for students to learn a bit about AI with a need to fold it into everything or center it as the issue.,
90,STOP,"Loomis should stop limiting AI. If AI can gain a competitive edge on an assignment, then that assignment was not designed well in the first place. Having things like in-class essays or tests forces students to use AI to actually help them learn, not to cheat, because they don't have their laptop during the test.",
91,STOP,Stop promoting and normalizing so many use cases.,
92,STOP,"Stop being so hostile to it and trying to scare us. It's inevitable that people will use it. So instead, they should teach a healthy way to use it, where we still learn, but we also become more familiar with this in the future.",
93,STOP,Stop shutting down all AI uses and seeing them is all bad.,
94,STOP,Stop being so against it.,
95,STOP,This should stop being too negative towards AI and recognize its benefits.,
96,STOP,Stop assuming that teachers can manage fair assessments by moving work solely into the classroom.,
97,STOP,Stop the individual burden of maintaining AI boundaries.,
98,STOP,"Stop doing, excluding the use of AI on certain things and assignments completely.",
99,STOP,Stop generating flyers for events with AI. It makes me want to not go.,
100,STOP,Stop using AI so much for posters that are hung up around school.,
101,STOP,"We should stop conflating a need for students to learn a bit of AI for need to fold it into everything, or the center it as the issue.",
102,STOP,Loomis should stop encouraging/allowing AI posters to be put up around the school when a student couldn't have done the artwork themselves. They're not even cute.,
103,STOP,Loomis should stop changing rules around AI and limit ambiguity.,
104,STOP,"Stop treating all AI use as cheating, or making it something that we cannot talk about.",
105,STOP,"Stop the panic, stop cutting class time. We need the contact time.",
106,STOP,"It is being used, so Loomis should stop trying to prevent students from using it.",
107,STOP,Stop assuming all use is bad and considered cheating.,
108,STOP,Stop having posters made with AI around school.,
109,STOP,Stop having a zero-tolerance policy.,
110,STOP,Stop talking about it so much.,
111,STOP,Loomis should stop being hypercritical about use of AI.,
112,STOP,"We should stop, in some aspects, being totally against AI. It depends on the circumstance — for example, research tools.",
113,STOP,"Stop being so strict on the rules, knowing kids are gonna use it. Or by talking about it as much as we do.",
114,STOP,Loomis should stop encouraging / allowing AI posters to be put up around the school when a student couldn't have done the artwork itself. They're not even cute.,
115,STOP,Louis should stop changing rules around AI and limit ambiguity.,
116,STOP,"What is something Loomis should do? We should stop doing when it comes to AI? Stop treating all AI uses cheating, where it's something that we cannot talk about.",
117,STOP,"Stop the panic, stop cutting class time. We need the contact time.",
118,STOP,Stop giving levels without concrete proof. Stop the lockdown browser.,
119,STOP,"Stop seeing AI as only a means by which students cheat. It's more nuanced, and faculty use AI as well.",
120,STOP,Stop saying it's bad.,
121,STOP,Stop having a no thousand policy.,
122,STOP,"Stop punishing students based on suspicion and not proof, academic warning, I think it's called. Also, being so mysterious about AI policy.",
123,STOP,"Stop evilizing AI. AI is not necessarily the enemy. Also, teachers need to be transparent when it comes to their use of AI.",
124,STOP,"We should stop in some, in some aspects, being totally against AI, depends on the circumstance, for example, research tools.",
125,STOP,Stop prioritizing AI in faculty meetings and other spaces over programming / initiatives like DEI work.,
126,STOP,Stop ignoring the gap between faculty expectations and student curiosity.,
127,STOP,We should stop making it a whole school issue all the time.,
128,STOP,"Everyone, students and teachers should stop being sneaky, framed positively. We're transparent.",
129,STOP,Stop making it required for some assignments.,
130,STOP,Stop being so untrusting of our community when it comes to AI use.,
131,STOP,And we should stop having it as a requirement for anything.,
132,STOP,Stop giving levels without concrete proof. Stop the lockdown browser.,
133,STOP,Stop seeing AI as only. It means by which students cheat. If it's more nuanced and faculty use AI as well.,
134,STOP,Stop making assumptions.,
135,STOP,Stop the concern of AI being used. A bad asset.,
136,STOP,"Stop evilizing it. AI is not necessarily the enemy. Also, teachers need to be transparent when it comes to their use of AI.",
137,STOP,Stop making strict guidelines. Strictness makes sneakiness.,
138,STOP,"When we should stop pressuring students by saying AI is bad, it gives the student a negative connotation about it.",
139,STOP,Stop using AI in so many assignments.,
140,STOP,Stop being so untrusting our community that they use AI.,
141,STOP,"Certain classes recommend the use of AI in the idea generation part of projects. To me, the core point of schooling is to level up the ability to reason and think independently. We should stop using AI tutors or using AI to grade.",partial/illegible
142,STOP,"Stop treating AI as something that should be perfect, but isn't.",
143,STOP,"Stop using AI as the main assignment. Like, for example, using AI to come with an assignment.",
144,STOP,Stop suspecting AI usage with M dashes.,
145,STOP,Stop suspecting AI usage based on em dashes.,
146,STOP,Stop ignoring the ethical implications.,
147,STOP,"Stop making students feel, especially when it comes to English essays, that we aren't trusted, or that whatever we write will come under heavy suspicion.",
148,STOP,Stop having AI use requirements.,
149,STOP,Stop letting it do the work for you.,
150,STOP,Stop using AI to create assignments.,
151,STOP,Stop definite or strict rules / views on AI use.,
152,STOP,Stop using AI to grade work.,
153,STOP,Stop acting as if my use of AI is cheating.,
154,STOP,Teachers should stop suggesting AI usage.,
155,STOP,Stop leaving expectations unsaid about AI.,
156,STOP,Stop telling students not to use AI if they're doing work outside of class with no way to monitor it.,
157,STOP,Stop clumping faculty as if we are all in the same place.,
158,STOP,"Stop using AI for idea generation, especially for English assignments.",
159,STOP,"When I ask for help from a teacher, and they tell me to ask AI, stop doing that.",
160,STOP,Stop being 100% anti-AI.,
161,STOP,Stop seeing AI as a negative piece of technology.,
162,STOP,Stop making everything in class.,
163,STOP,And we should stop using the specific AI detector in the English department. The detector is faulty. It creates stress for students that were truthful about their work but got flagged.,
164,STOP,Loomis should stop allowing AI to be part of grading while banning it as a tool.,
165,STOP,"Stop having unclear policies such different policies for each class, because that is unfair.",
166,STOP,Stop using AI in so many assignments.,
167,STOP,"Stop pretending that AI doesn't exist, / will go away.",
168,STOP,We should stop trying to ban AI because everyone uses it.,
169,STOP,Stop using it for idea generation.,
170,STOP,Stop using it to plan lessons and making value and assignments too big.,
171,STOP,Stop making it a conversation that lasts for a while. They should just pick the student's punishment.,
172,STOP,Stop uneven regulation per class.,
173,STOP,"Stop moving up essay due dates for AI committee, it's messed up that you value authenticity. Authentically bad essay over essay that actually makes sense. And the student has time to write.",
174,STOP,Stop requiring use of AI.,
175,STOP,Stop moving up essay due dates because of the AI committee. It's messed up that you value an authentically bad essay over an essay that actually makes sense and the student has time to write.,
176,STOP,Stop expecting AI to be used by nobody. Be realistic.,
177,STOP,Stop prizing AI generated work as getting a good grade.,
178,STOP,And we should stop using AI to do assignments.,
179,STOP,"Then we should stop normalizing the usage of AI in humanities. I think that as an institution, we need to recognize that AI, it will ineffably be a part of our lives, but not allowed to take over our work.",
180,STOP,Stop cheating on assignments and using bad AI checkers.,
181,STOP,Stop the lockdown browser because I can't do simple things like looking up a synonym.,
182,STOP,I don't think they should stop unless teachers are using AI for grading.,
183,STOP,Stop trying to force unnecessary uses of AI in class when it's not actually useful.,
184,STOP,Stop treating AI as something only used to cheat.,
185,STOP,They should continue.,
186,STOP,Stop giving short deadlines.,
187,STOP,Stop seeing AI as a negative when it's unavoidable.,
188,STOP,Loomis should stop telling people to not use AI.,
189,STOP,Loomis should stop demonizing AI.,
190,STOP,Stop the normalization of AI.,
191,STOP,Stop categorizing AI is generally bad.,
192,STOP,Stop getting people in trouble for using AI when they did.,
193,STOP,Loomis should stop demonizing and banning AI.,
194,STOP,"Stop destigmatizing it only in certain aspects. Where it will exist in our futures, learn to use it as a tool.",
195,STOP,Stop getting people in trouble for using AI when they did it.,
196,STOP,"Don't be so against AI. It is our future, and I feel like trying to embrace it is important.",
197,STOP,Stop giving level 2 for AI usage when the guidelines are exceedingly ambiguous.,
198,STOP,"Stop destigmatizing it in certain aspects of, like, where it will exist in our futures, learn to use as a tool.",
199,STOP,Teachers stop giving so much work.,
200,STOP,Stop penalizing for gray area rules.,
201,STOP,Loomis should stop saying AI is bad in every case.,
202,STOP,Stop treating AI as if it's a taboo and making it seem like all students use AI to do all of their work.,
203,STOP,Stop ignoring it completely or acting like using it well won't be applicable in adult adulthood.,
204,STOP,"Stop making AI resistant assessments, merely for the sake of not changing the way we teach.",
205,STOP,And we should stop having teachers be able to make labs or quizzes with AI.,
206,STOP,Stop highlighting AI as a blanket class policy.,
207,STOP,I think Loomis should stop fully blocking out AI. The reason for this is because it can be super helpful for understanding and processing material.,
208,STOP,We should stop banning it in certain classes and lacking openness to understand the positive aspects.,
209,STOP,"Don't completely forbid AI where students can secretly still use it, because they will, and then they take away less than if they were allowed to use it with different guidelines.",
210,STOP,Loomis should stop with unspecific AI regulation.,
211,STOP,"Stop. Don't completely forbid AI where students can secretly still use it, because they will and then take away less than if they were allowed to use it with a different prompt.",
212,STOP,We should stop letting teachers grade using AI.,
213,STOP,Loomis should stop not prefacing whether we can or cannot use AI — just be specific about the circumstances for either.,
214,STOP,Loomis should stop assuming the worst about when we use AI.,
215,STOP,Maybe we should stop telling students that all forms of AI are bad.,
216,STOP,"Loomis should. Stop not prefacing whether we can or cannot use it, just being specific of the circumstances for either.",
217,STOP,Loomis should stop assuming the worse about when we use AI.,
218,STOP,Stop putting everything on teachers and have departmental policies.,
219,STOP,"Then we should stop treating AI as the world's biggest evil, because it will be used more in the future.",
220,STOP,Stop prohibiting AI as a whole. Loomis should understand it exists and implement it.,
221,STOP,We should stop making students feel afraid about using AI.,
222,STOP,Loomis should stop lack of clarity on when to use AI for assignments or assessments.,
223,STOP,Stop avoiding or preventing AI use entirely.,
224,STOP,Stop saying it's not allowed at all times.,
225,STOP,Stop using red AI markers if students will use it anyway. Give guidelines.,
226,STOP,Stop villainizing AI.,
227,STOP,"Loomis should stop placing value on unfinished products, thus incentivizing students to use AI more.",
228,STOP,Stop assuming the worst with AI and student use.,
229,STOP,Stop making students fear to use AI and portraying AI in an overall bad light.,
230,STOP,Stop totally banning and then holding kids to old standards for in-class timed work.,
231,STOP,We should stop being unclear about expectations.,
232,STOP,"Stop being vague about how / in what ways we, as students, should be using AI.",
233,STOP,"Loomis should stop placing value unfinished products, thus incentivizing students to use AI more.",
234,STOP,"Stop using AI to write, successfully make points or arguments for an essay.",
235,STOP,Something the we should stop doing is encouraging teachers to ban AI altogether or use our class time to consistently shoot it down. It's pretty ineffective and unproductive.,
236,STOP,"Stop ignoring that students will use AI in completing assignment, design better assignments.",
237,STOP,"Stop allowing teachers to use AI for the replacement of original top.
Stop allowing teachers to use AI for the replacement of original thought.",
238,STOP,Stop giving faculty so many trainings on AI.,
239,STOP,Loomis should stop allowing teachers to grade using AI.,
240,STOP,Stop thinking of AI as antithetical to teaching and learning.,
241,STOP,Loomis should stop relying solely on AI detection as an indicator of violation of academic integrity.,
242,STOP,Students should stop using AI to do and complete work entirely for them.,
243,STOP,Stop demonizing AI.,
244,STOP,Stop not having guidelines for out-of-class assessments.,
245,STOP,Stop associating all forms of AI with academic dishonesty.,
246,STOP,"Stop associating all forms of AI as quote, academic, quote, dishonesty.",
247,STOP,Stop assuming that their use of generative AI is inherently bad. It's not universal.,
248,STOP,"Something Loomis should stop doing when it comes to AI, is banning it from classes completely for certain assignments, people will use it anyway.",
249,STOP,Loomis should stop being so anti-AI will be a big part of the future and we need to know how to use it.,
250,STOP,Stop talking about the weeds and spend time on the big picture.,
251,STOP,Stop grading student works with AI.,
252,STOP,We should stop generalizing AI rules since they vary through teachers and classes.,
253,STOP,Stop banning it at all times.,
254,STOP,Stop anything that takes away the personal aspect.,
255,STOP,Stop having students take all assessments in class because of AI.,
256,STOP,Stop avoiding engagement with it by some teachers and not others.,
257,STOP,Stop cutting out AI fully from certain assignments.,
258,STOP,Stop associating AI with bad intentions or lazy students.,
259,STOP,Stop thinking that AI is negative.,
260,STOP,Stop trying to ban certain websites because AI can be a good thing.,
261,STOP,"Stop fighting students right away, without proof of use, they only come, that only comes from turning in.",
262,STOP,Stop immediately viewing AI as something harmful and dishonest.,
263,STOP,Stop portraying AI as harmful.,
264,STOP,And we should stop having tolerance for unethical AI usage.,
265,STOP,Stop judging people for being curious about AI.,
266,STOP,Stop doing AI worksheets/study guides. Things will get out of control. Stick to Quizlet. No generative AI like GPT or Claude.,
267,STOP,Stop preventing students from using AI.,
268,STOP,Stop only having in class assignments to prevent AI use.,
269,STOP,Stop taking such a hard line stance on something nobody fully understands.,
270,STOP,Stop viewing AI is something inherently negative.,
271,STOP,Stop strict punishment for any AI use in the classroom setting.,
272,STOP,Loomis should stop making it a taboo topic that people don't want to share with teachers.,
273,STOP,"Then we should stop using AI for assignments, so it would be given a grade unless you are told otherwise.",
274,STOP,I think Loomis should stop punishing students for using AI without taking the context of why a student use it into consideration.,
275,STOP,Stop assuming every AI use is bad.,
276,STOP,"Stop doing AI worksheet / study guides. Things. will get 2 out of control. Stick to Quizlet. No gen AI, like GPT or Claude.",
277,STOP,Then we should stop pretending that students aren't using it all the time.,
278,STOP,They should stop trying to force it into the curriculum and make it more neutral.,
279,STOP,Stop letting each teacher make their own rules about AI. Need a element of consistency across sections.,
280,STOP,"Stop being completely closed minded about it, in parentheses, some teachers.",
281,STOP,When we should stop making students feel like AI is being forced everywhere.,
282,STOP,"Strict, stop strict punishment for any AI use in the cost setting.",
283,STOP,Stop assuming it's being used to cheat or undermine academic integrity.,
284,STOP,Lumis teachers should stop assuming that students know what constitutes acceptable AI usage. Students need that info clearly communicated to them.,
285,STOP,Stop putting a negative connotation on AI.,
286,STOP,Look at AI and stop looking at AI in a completely negative perspective.,
287,STOP,Stop using AI as their own work.,
288,STOP,Stop making assessment essays in class just cause of the fear of AI.,
289,STOP,Stop pretending AI is not being used.,
290,STOP,Stop avoiding the topic altogether and not sharing expectations.,
291,STOP,Loomis should stop giving AI a positive or negative connotation. It should be neutral.,
292,STOP,Stop strict punishment. No reason kids should be getting kicked out.,
293,STOP,Loomis should stop creating a negative connotation around AI and forcing AI into the curriculum.,
294,STOP,"Stop making vague generalizations about how good or bad AI is, when there is always nuance and different ways to use it.",
295,STOP,Stop forcing it.,
296,STOP,Stop not allowing ChatGPT when studying.,
297,STOP,Loomis Chaffee should stop behaving as if it will be experiencing FOMO if it doesn't go all in on AI.,
298,STOP,"Stop thinking about it fully negatively, as it can be used for good.",
299,STOP,Stop only focusing on it when we have other issues.,
300,STOP,Stop not having clear use policies for all community members.,
301,STOP,Loomis should stop using AI detectors for English essays.,
302,STOP,I think Loomis should stop giving AI a positive or negative connotation. It should be neutral.,
303,STOP,Stop pretending that the large majority of students care or will ever see AI as more than a shortcut.,
304,STOP,Loomis should stop creating a negative connotation on AI and forcing AI into the curriculum.,
305,STOP,"Stop making a, stop making vague generalizations about how good or bad it is, when there is always nuance and different ways to use it.",
306,STOP,But we should stop giving all assessments in class for fear of AI use out of class.,
307,STOP,Stop not allowing ChatGPT when studying.,
308,STOP,"Something that Loomis Chaffee you should stop doing when it comes to AI. Stop behaving as if you must, will be experiencing FOMO if it doesn't go all in.",
309,STOP,And we should stop treating AI as only a harmful tool.,
310,STOP,When we should stop pretending that students are not using AI or that most students are doing their own work.,
311,STOP,Loomis should stop using AI detectors for English essays.,
312,STOP,Stop adopting assessment to a world which they are incredibly AI vulnerable. We need to let some things go.,
313,STOP,Stop pretending that the large majority of students care or will ever see AI as more than a shortcut.,
314,STOP,Stop putting an only negative connotation on AI use.,
315,STOP,I think Loomis should stop using many common AI detectors. Don't base discipline decisions on website detectors.,
316,STOP,"Stop acting like all use cases of AI use is bad, and that example of poor integrity.",
317,STOP,Loomis should stop overemphasizing the concerns of students using AI and pay close attention to the teacher's use of AI.,
318,STOP,Stop having many assignments where all AI is banned.,
319,STOP,Loomis should stop trying to force AI into curriculums and classes that make it more normal.,
320,STOP,Stop making assignments in-class because of AI — not having enough time to actually do the learning.,
321,STOP,Stop keeping AI expectations so vague. This leads to a lot of conversations between students and faculty that are tense.,
322,STOP,Stop using it on posters around campus.,
323,STOP,Loomis should stop focusing on the bad parts of AI.,
324,STOP,Loomis should stop only focusing on the bad aspects of AI.,
325,STOP,"I think Loomis should stop using many common AI detectors, but don't base discipline decisions on website detectors.",
326,STOP,"And we should stop trying to completely ignore AI, in parentheses. Some teachers refuse to talk or use it, talk about or use it.",
327,STOP,We should stop using AI to generate posters that would be posted around the school.,
328,STOP,"Stop automatically thinking of AI as a bad thing, and don't punish kids right away.",
329,STOP,When this should stop framing AI as inherently negative in general.,
330,STOP,Loomis should stop automatically assuming kids are using AI without talking to them first.,
331,STOP,Stop assuming AI is used only dishonestly.,
332,STOP,Loomis should stop focusing on the pad.,
333,STOP,And they should stop only focusing on the bath of AI.,
334,STOP,Loomis should stop portraying AI in a malicious way.,
335,STOP,Stop making it just about academic dishonesty.,
336,STOP,"Teachers should stop grading based on how you sound, and instead grade based on how critical and strong your ideas are.",
337,STOP,Stop being so vague with ways in which it is acceptable to use AI for both students and faculty.,
338,STOP,"South automatically thinking it as a bad thing, and don't punish kids right away.",
339,STOP,Stop in class writings as main form of assessment.,
340,STOP,Loomis should stop automatically assuming kids are using AI without talking to them first.,
341,STOP,"Stop them ignoring the environmental impacts of this technology, and what that means for communities elsewhere.",
342,STOP,Stop using AI to replace your own ideas.,
343,STOP,Stop making AI seem like a bad thing.,
344,STOP,Then we should stop using AI and relying AI to the extent that their whole work is AI.,
345,STOP,"Loomis should stop not talking about using AI, because a lot of students beneficially use it but are scared to speak up and share about it because they feel they will get into trouble, even though their use is safe.",
346,STOP,"AI is so apparent in this world, and we need to stop seeing it as unimportant, because it is the future of this world. We should stop creating such a stigma around AI.",
347,STOP,We should stop treating AI like it's evil and only doing in-class assignments out of fear of AI.,
348,STOP,"We should stop doing so many in-class essays. Instead, find an AI preventative measure or allow us to type in class.",
349,STOP,"Stop not having AI guidelines available for help, but banning AI.",
350,STOP,Loomis should stop using AI as a replacement for teaching and students should stop relying fully on AI.,
351,STOP,Loomis should stop assuming the worst of the students using AI. They think they're cheating. Maybe it is a reflection on the teaching in class.,
352,STOP,"Stop letting AI have more of a voice in your writing than you, more for students.",
353,STOP,Stop simply banning AI. It will be used anyways. Should provide proper guidelines and boundaries.,
354,STOP,Stop making it a taboo topic.,
355,STOP,"I think Loomis should stop not talking about using AI, because a lot of students beneficially use it, but are scared to speak up and share about it because they feel they will get into trouble, even though their use is safe.
Hey, I am so apparent in this world, and we need to stop seeing it as unimportant, because in the future, because it is the future of this world. We should stop creating such a stigma around AI. We should stop treating AI like it's evil and only doing in-class assignments out of fear of AI. When we should stop doing so many in-class essays, instead find an AI preventative measure or allowed to type in class.",
356,STOP,And we should stop creating as much negative stigma / fear around it.,
357,STOP,"Stop using AI for generating images or artwork using AI to write emails, studying math or biology with AI, stop asking for creative ideas when it comes to writing.",
358,STOP,"I think Loomis should stop. Assuming the worst of the students using AI, they think they're cheating. Maybe it is a reflection on the teaching in class.",
359,STOP,Stop having any full bans of AI as opposed to developing responsible use.,
360,STOP,"Stop talking, start doing.",
361,STOP,"Students shouldn't always feel pressures to not use AI, using them for, Creating study guides is a helpful resource for kids to learn the materials better.",
362,STOP,Stop making AI seem as just a way to cheat and not seem as seen as a useful learning tool.,
363,STOP,"Stop making AI so taboo. It's here to stay, so we need to figure out ways to incorporate it while still teaching what is essential.",
364,STOP,Stop having any full bands of AI as opposed to developing responsible use.,
365,STOP,Stop making the assumption it is being used maliciously.,
366,STOP,Stop doing just in-class essays. Find a way to let us write in other ways.,
367,STOP,Loomis should stop not acknowledging that we all use AI.,
368,STOP,"The school should stop having gray / amorphous policies, especially when the teacher doesn't clarify it. It doesn't clarify if you can or cannot use it.",
369,STOP,Stop villainizing AI.,
370,STOP,Stop doing just in-class essays. Find a way to let us write other ways.,
371,STOP,"Loomis should stop, not acknowledging that we all use AI.",
372,STOP,"Stop immediately sending students to the academic office, but have a conversation.",
373,STOP,Then we should stop demonizing AI.,
374,STOP,Stop making all graded assessments in-class.,
375,STOP,"We should stop only highlighting the bad parts of AI. Maybe it seemed like something you will get in trouble for it, even if you are simply using it in a helpful way.",
376,STOP,We must should stop making kids stress about the use of AI.,
377,STOP,Loomis should stop trying to ban AI and implement it into the curriculum.,
378,STOP,Stop being negative towards AI.,
379,STOP,Teachers should stop not being open about the ways they use AI.,
380,STOP,Stop making all graded assessments in-class.,
381,STOP,Loomis should stop having all writing assignments in class.,
382,STOP,Stop the assumption that AI is a problem/acting out of fear.,
383,STOP,Stopping is negative towards AI.,
384,STOP,Loomis should stop using AI for brainstorming or writing essays and not being transparent about it.,
385,STOP,"Stop considering AI as a thinking / doing machine, but as a tool to polish ideas.",
386,STOP,Stop being wishy-washy on Academic Integrity Committee rulings.,
387,STOP,Stop the assumption that A is a problem / act out of fear.,
388,STOP,We should stop having different teacher's expectations within departments.,
389,STOP,Stop cutting students off from AI completely.,
390,STOP,Stop being wishy-washy on AIC rulings.,
391,STOP,Stop using AI to write essays or answers.,
392,STOP,Stop viewing it as something mainly bad or as it is our future. Help us be ahead of the curve.,
393,STOP,Stop viewing it as something that is only negative.,
394,STOP,"Stop assuming teachers have time to squeeze in, figuring out how to use AI. Dedicate more time to learning as teachers.",
